ts_ms,symbol,asset,source,event_type,urgency,sentiment,abs_sentiment,confidence,hour,ret_1h,ret_4h,exc_1h,exc_4h
1775740841000,BTCUSDT,BTC,theblock,influencer,3,0.7,0.7,0.8,13,-0.0066956155615263135,0.01733277344344386,0.0,0.0
1775741291000,BTCUSDT,ALL,decrypt,influencer,2,-0.2,0.2,0.6,13,-0.0046307324719409015,0.016857404516147367,0.0,0.0
1775741566000,BTCUSDT,BTC,coindesk,influencer,2,-0.2,0.2,0.8,13,-0.0020547604440220857,0.021131376836075022,0.0,0.0
1775742112000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.2,0.2,0.8,13,0.0020788193491170226,0.02101110048619126,0.0,0.0
1775742122000,BTCUSDT,ALL,cointelegraph,regulatory,3,0.7,0.7,0.8,13,0.0020788193491170226,0.02101110048619126,0.0,0.0
1775744747000,BTCUSDT,BTC,coindesk,macro,2,0.8,0.8,0.9,14,0.021843137404754076,0.017020604493001468,0.0,0.0
1775748273000,BTCUSDT,ALL,theblock,hack,3,-0.8,0.8,0.9,15,0.010112817076820324,0.006779677647472893,0.0,0.0
1775748283000,BTCUSDT,BTC,decrypt,macro,2,0.5,0.5,0.7,15,0.010112817076820324,0.006779677647472893,0.0,0.0
1775748999000,BTCUSDT,ALL,coindesk,regulatory,2,-0.35,0.35,0.7,15,-0.0014379316205519466,0.0005613538534112728,0.0,0.0
1775749179000,BTCUSDT,BTC,cointelegraph,hack,3,-0.7,0.7,0.8,15,-0.0014379316205519466,0.0005613538534112728,0.0,0.0
1775752908000,BTCUSDT,ALL,cointelegraph,regulatory,3,0.7,0.7,0.8,16,0.0075614219349178224,0.007081523912203513,0.0,0.0
1775753278000,BTCUSDT,ALL,coindesk,exchange,3,0.7,0.7,0.8,16,0.006582021336276167,0.006803749685108107,0.0,0.0
1775753817000,ETHUSDT,ETH,theblock,exchange,3,0.8,0.8,0.9,16,-0.00553282750914641,-0.0012840845603474538,0.002049974723539405,-0.0011035975019456634
1775756548000,BTCUSDT,ALL,coindesk,geopolitical,2,-0.4,0.4,0.7,17,-0.006726738710376434,0.0005958197551279021,0.0,0.0
1775757828000,BTCUSDT,BTC,decrypt,exchange,2,-0.2,0.2,0.8,18,0.0006468418481402338,0.005306658305029854,0.0,0.0
1775760008000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.2,0.2,0.8,18,0.004946854699080738,0.007322068341715671,0.0,0.0
1775760738000,BTCUSDT,BTC,theblock,exchange,3,-0.65,0.65,0.8,18,0.002888215100316893,0.0007973437824502216,0.0,0.0
1775761364000,BTCUSDT,ALL,theblock,influencer,2,-0.35,0.35,0.7,19,-0.0003275139470982902,-0.0016035693469150791,0.0,0.0
1775761644000,BTCUSDT,BTC,coindesk,macro,2,0.8,0.8,0.7,19,0.0020687522072984077,-0.003197389668399775,0.0,0.0
1775763727000,BTCUSDT,ALL,cointelegraph,exchange,2,0.5,0.5,0.8,19,0.0013392920177088818,-0.006221374796060886,0.0,0.0
1775765188000,BTCUSDT,ALL,coindesk,regulatory,2,0.0,0.0,0.8,20,0.0021261303596231684,-0.005081267305027559,0.0,0.0
1775765278000,BTCUSDT,ALL,coindesk,exchange,2,0.3,0.3,0.7,20,0.0021261303596231684,-0.005081267305027559,0.0,0.0
1775765278000,BTCUSDT,ALL,coindesk,exchange,2,0.2,0.2,0.8,20,0.0021261303596231684,-0.005081267305027559,0.0,0.0
1775769284000,BTCUSDT,ALL,theblock,regulatory,3,-0.6,0.6,0.8,21,0.007418312432504903,-0.0036107112046750434,0.0,0.0
1775769368000,BTCUSDT,ALL,theblock,regulatory,2,-0.4,0.4,0.8,21,0.006890766903514978,-0.0060288677430884174,0.0,0.0
1775770648000,BTCUSDT,ALL,coindesk,regulatory,2,0.2,0.2,0.8,21,-0.0018362874640115434,-0.0020930143644222188,0.0,0.0
1775771309000,BTCUSDT,ALL,theblock,regulatory,2,-0.2,0.2,0.6,21,-0.0011797860283955242,-0.0010443644641089378,0.0,0.0
1775775371000,BTCUSDT,ALL,theblock,influencer,3,0.8,0.8,0.7,22,-0.0009788291333828747,0.0010165299143871653,0.0,0.0
1775777382000,BTCUSDT,ALL,decrypt,regulatory,2,0.0,0.0,0.8,23,0.002011716239841199,0.0021053881711865507,0.0,0.0
1775778017000,BTCUSDT,ALL,cointelegraph,influencer,2,-0.2,0.2,0.6,23,0.0019469223040518013,0.0010708978087965448,0.0,0.0
1775780473000,BTCUSDT,ALL,decrypt,influencer,2,-0.4,0.4,0.7,0,0.0005903647078557839,0.00026504466016463724,0.0,0.0
1775781828000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.0,0.0,0.8,0,0.004122202140970366,1.2929236757885931e-05,0.0,0.0
1775781828000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.45,0.45,0.8,0,0.004122202140970366,1.2929236757885931e-05,0.0,0.0
1775781838000,BTCUSDT,ALL,cointelegraph,exchange,2,-0.45,0.45,0.8,0,0.004122202140970366,1.2929236757885931e-05,0.0,0.0
1775782743000,BTCUSDT,ALL,decrypt,regulatory,2,-0.45,0.45,0.8,0,0.0035624463281647145,0.0035909692736917354,0.0,0.0
1775790200000,BTCUSDT,ALL,decrypt,regulatory,2,0.2,0.2,0.8,3,0.00021428372778609095,-0.002418166142892808,0.0,0.0
1775797561000,BTCUSDT,ALL,coindesk,regulatory,2,-0.42,0.42,0.78,5,0.001110879205729054,-0.0050865916810480805,0.0,0.0
1775799376000,BTCUSDT,ALL,coindesk,exchange,3,0.6,0.6,0.8,5,-0.0030541718451864153,-0.004793156703767232,0.0,0.0
1775799831000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.4,0.4,0.8,5,-0.004230219008803715,-0.005704575159052427,0.0,0.0
1775810448000,BTCUSDT,ALL,cointelegraph,influencer,2,0.45,0.45,0.8,8,0.0029757125785589977,0.011822633387542636,0.0,0.0
1775812813000,BTCUSDT,ALL,theblock,influencer,3,0.7,0.7,0.8,9,-0.0004803157626755983,0.007402185652702009,0.0,0.0
1775814099000,BTCUSDT,ALL,cointelegraph,influencer,3,0.8,0.8,0.7,9,0.0008772602060225232,0.0072915984500252495,0.0,0.0
1775814100000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.2,0.2,0.8,9,0.0008772602060225232,0.0072915984500252495,0.0,0.0
1775821281000,BTCUSDT,ALL,theblock,regulatory,2,0.2,0.2,0.8,11,0.0022891446010948613,0.004613728305834952,0.0,0.0
1775822364000,BTCUSDT,ALL,coindesk,regulatory,2,-0.2,0.2,0.8,11,0.00023649560889871246,0.004623371391069497,0.0,0.0
1775822444000,BTCUSDT,BTC,coindesk,exchange,3,0.5,0.5,0.8,12,0.0010221927399505226,0.005613258816983935,0.0,0.0
1775823624000,BTCUSDT,ALL,coindesk,regulatory,3,0.7,0.7,0.8,12,0.0016867390086590106,0.008231408288519537,0.0,0.0
1775824999000,BTCUSDT,ALL,cointelegraph,regulatory,3,0.8,0.8,0.9,12,-0.0015157050328062915,0.005140883636421512,0.0,0.0
1775825260000,BTCUSDT,ALL,cointelegraph,hack,2,0.0,0.0,0.8,12,0.0007589136345205194,0.009621307635889975,0.0,0.0
1775828181000,BTCUSDT,BTC,coindesk,macro,2,-0.2,0.2,0.8,13,0.011175730352546376,0.011910676311259527,0.0,0.0
1775830456000,BTCUSDT,BTC,theblock,influencer,2,0.4,0.4,0.8,14,0.0036317371273237864,0.0029727082321711062,0.0,0.0
1775832272000,ETHUSDT,ETH,cointelegraph,hack,2,-0.2,0.2,0.8,14,-0.004282387229724738,0.0038934856754593294,-0.0021616322117868902,0.0003958830925465673
1775832367000,BTCUSDT,ALL,theblock,influencer,3,0.5,0.5,0.8,14,-0.0046601238489384356,0.0029078579713202046,0.0,0.0
1775835267000,BTCUSDT,BTC,coindesk,macro,2,0.5,0.5,0.8,15,-0.00016665293934137182,0.003080329329308462,0.0,0.0
1775836173000,BTCUSDT,ALL,coindesk,geopolitical,2,-0.2,0.2,0.6,15,0.005593695468089965,0.008267435831403658,0.0,0.0
1775839083000,BTCUSDT,ALL,coindesk,influencer,3,-0.6,0.6,0.8,16,0.0027291151731709817,0.007166436971411061,0.0,0.0
1775840861000,BTCUSDT,BTC,decrypt,influencer,3,0.8,0.8,0.7,17,0.003057021584013331,0.0029396813615969464,0.0,0.0
1775842951000,BTCUSDT,BTC,cointelegraph,macro,2,0.7,0.7,0.8,17,-6.700158323780236e-05,0.001578442206338737,0.0,0.0
1775842951000,BTCUSDT,ALL,cointelegraph,macro,2,-0.35,0.35,0.7,17,-6.700158323780236e-05,0.001578442206338737,0.0,0.0
1775842961000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.45,0.45,0.8,17,-6.700158323780236e-05,0.001578442206338737,0.0,0.0
1775846407000,BTCUSDT,ALL,coindesk,influencer,2,-0.42,0.42,0.78,18,0.000544681266225755,-0.0019345434255533256,0.0,0.0
1775846855000,BTCUSDT,ALL,decrypt,regulatory,2,-0.2,0.2,0.8,18,0.0006590104275325803,-0.0022976383497523845,0.0,0.0
1775851122000,BTCUSDT,ALL,decrypt,regulatory,2,-0.2,0.2,0.8,19,0.0009287729181612914,-0.005704909842549455,0.0,0.0
1775853669000,BTCUSDT,BTC,cointelegraph,influencer,3,0.8,0.8,0.7,20,-0.0019712482829399303,-0.005556713801591395,0.0,0.0
1775857404000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.4,0.4,0.8,21,-0.003574215904419531,-0.001688542385587799,0.0,0.0
1775895284000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.4,0.4,0.8,8,0.000566821039726273,0.0018630599402253978,0.0,0.0
1775895284000,BTCUSDT,BTC,cointelegraph,geopolitical,2,0.4,0.4,0.7,8,0.000566821039726273,0.0018630599402253978,0.0,0.0
1775897000000,BTCUSDT,ALL,cointelegraph,exchange,3,0.7,0.7,0.8,8,0.001682703646540995,0.0032412260743153176,0.0,0.0
1775904240000,BTCUSDT,ALL,cointelegraph,regulatory,3,0.5,0.5,0.8,10,0.0008543091087651611,-0.0019313321231766434,0.0,0.0
1775911421000,BTCUSDT,ALL,cointelegraph,exchange,3,-0.8,0.8,0.9,12,-0.003442263406075119,0.0027803213071608823,0.0,0.0
1775919782000,BTCUSDT,BTC,coindesk,macro,2,-0.35,0.35,0.8,15,0.0021190270552553514,0.014001564472873484,0.0,0.0
1775922143000,BTCUSDT,ALL,cointelegraph,regulatory,3,-0.7,0.7,0.8,15,0.005443329313658207,0.012229589336159918,0.0,0.0
1775926874000,BTCUSDT,ALL,coindesk,regulatory,2,0.2,0.2,0.7,17,0.0012620323199723504,0.0056849672540078,0.0,0.0
1775926884000,BTCUSDT,ALL,coindesk,exchange,2,0.6,0.6,0.8,17,0.0012620323199723504,0.0056849672540078,0.0,0.0
1775932680000,BTCUSDT,BTC,theblock,regulatory,3,-0.8,0.8,0.7,18,0.003117333769650177,-0.0018428219105509624,0.0,0.0
1775932780000,ETHUSDT,ETH,theblock,exchange,2,-0.4,0.4,0.7,18,0.010166966506510056,0.000496587053017139,0.007049632736859879,0.0023394089635681015
1775934145000,BTCUSDT,ALL,coindesk,macro,2,0.45,0.45,0.8,19,-0.0017470577333591475,-0.009697615334708698,0.0,0.0
1775937592000,ETHUSDT,ETH,coindesk,exchange,2,-0.4,0.4,0.7,19,-0.004444097926087576,-0.012634925585182755,-0.001301837832464403,-0.004036208219143633
1775937682000,BTCUSDT,ALL,coindesk,macro,2,-0.6,0.6,0.8,20,-0.002197667482444765,-0.007807631655164404,0.0,0.0
1775941603000,BTCUSDT,ALL,theblock,exchange,2,0.2,0.2,0.8,21,0.001153079079351027,-0.004669248405186344,0.0,0.0
1775943873000,BTCUSDT,BTC,cointelegraph,macro,2,0.7,0.7,0.8,21,-0.0009570088365994378,-0.027389712767949992,0.0,0.0
1775943883000,BTCUSDT,ALL,cointelegraph,influencer,2,-0.35,0.35,0.8,21,-0.0009570088365994378,-0.027389712767949992,0.0,0.0
1775946694000,BTCUSDT,BTC,coindesk,influencer,2,0.2,0.2,0.8,22,-0.0021252639524341754,-0.019733190411970525,0.0,0.0
1775954553000,BTCUSDT,ALL,cointelegraph,influencer,3,-0.8,0.8,0.9,0,-0.021977811258731772,-0.019723325571839423,0.0,0.0
1775984395000,BTCUSDT,ALL,theblock,regulatory,2,-0.2,0.2,0.8,8,-0.000553175322763777,-0.007805375064466213,0.0,0.0
1775990530000,ETHUSDT,ETH,cointelegraph,exchange,3,-0.5,0.5,0.8,10,-0.0031615797948366664,-0.013980605358855036,-0.0024351017252709495,-0.0038315920346821963
1775998886000,BTCUSDT,ALL,coindesk,geopolitical,3,-0.8,0.8,0.9,13,-0.0017916210958286438,-0.0021307398342058637,0.0,0.0
1776001987000,BTCUSDT,ALL,coindesk,influencer,2,0.4,0.4,0.7,13,-0.0019901418293449824,0.0035419954063666825,0.0,0.0
1776006078000,BTCUSDT,ALL,coindesk,macro,2,0.2,0.2,0.8,15,0.0011438074729699377,0.005339652180793797,0.0,0.0
1776010936000,BTCUSDT,BTC,coindesk,macro,2,0.8,0.8,0.7,16,0.0010021715597021696,0.0018513667347281881,0.0,0.0
1776012401000,BTCUSDT,BTC,coindesk,geopolitical,3,-0.5,0.5,0.7,16,0.003458346207077634,0.006119014061655825,0.0,0.0
1776013306000,BTCUSDT,ALL,coindesk,exchange,3,-0.7,0.7,0.8,17,0.002623496667370162,0.004802464227030789,0.0,0.0
1776014217000,BTCUSDT,ALL,coindesk,macro,2,-0.35,0.35,0.8,17,0.0019350348544417972,0.004949613986474866,0.0,0.0
1776015857000,BTCUSDT,BTC,cointelegraph,macro,2,-0.45,0.45,0.8,17,0.001386088230626914,0.002887777684064119,0.0,0.0
1776021128000,BTCUSDT,ALL,theblock,influencer,2,-0.45,0.45,0.8,19,-0.0019963166117101805,-0.006248293881645384,0.0,0.0
1776023028000,BTCUSDT,BTC,cointelegraph,influencer,3,0.8,0.8,0.9,19,0.0018340457843522007,-0.0073305585241015825,0.0,0.0
1776027669000,BTCUSDT,ALL,coindesk,regulatory,2,-0.35,0.35,0.7,21,-0.005436597128535614,-0.0027399630623814453,0.0,0.0
1776035681000,BTCUSDT,ALL,theblock,regulatory,3,-0.7,0.7,0.8,23,0.0022006744038709503,0.006259007693590668,0.0,0.0
1776041137000,BTCUSDT,ALL,cointelegraph,regulatory,3,0.8,0.8,0.9,0,-0.0012000583667942655,-0.004105618056742366,0.0,0.0
1776059030000,BTCUSDT,BTC,cointelegraph,macro,2,-0.35,0.35,0.7,5,0.003010472054330693,-0.0006791600103809303,0.0,0.0
1776061396000,BTCUSDT,BTC,theblock,hack,3,-0.8,0.8,0.9,6,-0.0044209937287703616,-0.003511646418505099,0.0,0.0
1776062566000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.2,0.2,0.8,6,-0.0036062001810631683,-0.003756687279222848,0.0,0.0
1776062576000,BTCUSDT,ALL,cointelegraph,hack,3,-0.8,0.8,0.9,6,-0.0036062001810631683,-0.003756687279222848,0.0,0.0
1776067387000,BTCUSDT,BTC,coindesk,influencer,3,0.8,0.8,0.7,8,-0.0004861595095146942,0.0039451158569425715,0.0,0.0
1776069943000,BTCUSDT,BTC,coindesk,macro,2,-0.5,0.5,0.8,8,0.0017586354891057088,0.007960430135289354,0.0,0.0
1776073404000,BTCUSDT,BTC,cointelegraph,regulatory,2,-0.2,0.2,0.8,9,-7.841787486695395e-05,0.011893660275115403,0.0,0.0
1776073414000,BTCUSDT,ALL,cointelegraph,influencer,3,0.6,0.6,0.8,9,-7.841787486695395e-05,0.011893660275115403,0.0,0.0
1776073416000,BTCUSDT,BTC,cointelegraph,hack,3,-0.8,0.8,0.9,9,-7.841787486695395e-05,0.011893660275115403,0.0,0.0
1776074396000,SOLUSDT,SOL,coindesk,exchange,2,-0.2,0.2,0.8,9,-0.0006106497313140835,0.01856375183194925,-0.0011595803407500327,0.008189161075539575
1776079023000,BTCUSDT,BTC,coindesk,macro,2,-0.8,0.8,0.9,11,0.00040594935213889016,0.014562674586794389,0.0,0.0
1776079129000,BTCUSDT,ALL,coindesk,regulatory,2,-0.2,0.2,0.6,11,0.00040594935213889016,0.014562674586794389,0.0,0.0
1776086257000,BTCUSDT,ALL,coindesk,influencer,2,0.2,0.2,0.8,13,0.0058413557258287785,0.014990842650279168,0.0,0.0
1776087427000,BTCUSDT,ALL,coindesk,macro,2,-0.35,0.35,0.7,13,0.013382895232496583,0.019788018993660117,0.0,0.0
1776091893000,BTCUSDT,BTC,coindesk,regulatory,2,-0.43,0.43,0.72,14,-0.007369597991164323,0.0003412976354331132,0.0,0.0
1776092894000,BTCUSDT,BTC,theblock,influencer,3,0.8,0.8,0.9,15,0.001097129603750524,0.005104557396319986,0.0,0.0
1776093074000,BTCUSDT,BTC,coindesk,influencer,3,0.8,0.8,0.9,15,0.0033851523610770595,0.0094032319244024,0.0,0.0
1776094984000,BTCUSDT,BTC,cointelegraph,influencer,3,0.5,0.5,0.8,15,0.006697640824967044,0.019772860194317676,0.0,0.0
1776094994000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.4,0.4,0.7,15,0.006697640824967044,0.019772860194317676,0.0,0.0
1776095255000,BTCUSDT,ALL,theblock,exchange,2,-0.4,0.4,0.8,15,0.004803451448325724,0.02376299868967635,0.0,0.0
1776097255000,XRPUSDT,XRP,coindesk,exchange,3,0.5,0.5,0.8,16,0.0011942972307232846,0.008061506307382338,-0.0015707609931585598,-0.0037399604081738147
1776097700000,ETHUSDT,ETH,coindesk,influencer,3,0.8,0.8,0.9,16,0.003910107920774397,0.013400312449496354,0.00040905987689243695,-0.0003271241486944021
1776098638000,BTCUSDT,BTC,cointelegraph,influencer,3,0.8,0.8,0.9,16,0.0014451494561120715,0.012147414648366883,0.0,0.0
1776099763000,BTCUSDT,ALL,coindesk,regulatory,3,0.6,0.6,0.8,17,-0.0013496434389812517,0.01294088606015098,0.0,0.0
1776100038000,BTCUSDT,BTC,decrypt,macro,2,-0.7,0.7,0.8,17,-0.0015099503612635568,0.012774896511623224,0.0,0.0
1776100853000,BTCUSDT,ALL,theblock,regulatory,2,0.4,0.4,0.8,17,-0.0037380509708373477,0.009428363938740691,0.0,0.0
1776102191000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.4,0.4,0.8,17,-0.0012524967078807459,0.011724032028564091,0.0,0.0
1776102931000,BTCUSDT,ALL,coindesk,exchange,2,-0.45,0.45,0.8,17,0.0027257237843616444,0.015719786337844877,0.0,0.0
1776105382000,BTCUSDT,ALL,coindesk,regulatory,2,0.35,0.35,0.8,18,0.00942237688705716,0.026623647821313767,0.0,0.0
1776105557000,BTCUSDT,ALL,theblock,exchange,2,0.2,0.2,0.8,18,0.00942237688705716,0.026623647821313767,0.0,0.0
1776106928000,BTCUSDT,ALL,coindesk,exchange,3,0.8,0.8,0.9,19,0.013112354331565435,0.03369265099438201,0.0,0.0
1776109929000,BTCUSDT,ALL,decrypt,influencer,3,-0.7,0.7,0.8,19,-0.0023657027921185625,0.014936277682718657,0.0,0.0
1776111570000,BTCUSDT,ALL,coindesk,regulatory,2,0.35,0.35,0.8,20,0.0018890960646571475,0.01755870557066941,0.0,0.0
1776111925000,BTCUSDT,ALL,theblock,hack,3,-0.5,0.5,0.8,20,-0.00028734796267715357,0.013749545385203898,0.0,0.0
1776113115000,BTCUSDT,ALL,cointelegraph,influencer,2,0.4,0.4,0.7,20,0.0019327249725660245,0.01445336799934438,0.0,0.0
1776113125000,BTCUSDT,BTC,cointelegraph,macro,2,0.3,0.3,0.7,20,0.0019327249725660245,0.01445336799934438,0.0,0.0
1776113296000,BTCUSDT,ALL,decrypt,regulatory,2,-0.2,0.2,0.6,20,0.0019327249725660245,0.01445336799934438,0.0,0.0
1776114468000,BTCUSDT,ALL,decrypt,hack,3,-0.5,0.5,0.8,21,0.007227682937920976,0.014694221923352568,0.0,0.0
1776116560000,BTCUSDT,ALL,coindesk,regulatory,3,0.7,0.7,0.8,21,0.014646275487836036,0.014822623169027827,0.0,0.0
1776116650000,BTCUSDT,BTC,cointelegraph,other,2,-0.5,0.5,0.8,21,0.014646275487836036,0.014822623169027827,0.0,0.0
1776116660000,BTCUSDT,BTC,cointelegraph,macro,2,0.8,0.8,0.7,21,0.014646275487836036,0.014822623169027827,0.0,0.0
1776118171000,BTCUSDT,ALL,coindesk,exchange,2,0.2,0.2,0.8,22,0.012203663946515952,0.009954136264620939,0.0,0.0
1776118536000,BTCUSDT,ALL,coindesk,exchange,2,-0.35,0.35,0.7,22,0.005005683255558502,0.0032120698931323854,0.0,0.0
1776120253000,BTCUSDT,ALL,cointelegraph,exchange,3,-0.5,0.5,0.8,22,0.0020934277909332444,0.001366606665472947,0.0,0.0
1776120263000,BTCUSDT,BTC,cointelegraph,macro,2,-0.5,0.5,0.8,22,0.0020934277909332444,0.001366606665472947,0.0,0.0
1776121714000,BTCUSDT,ALL,theblock,influencer,2,0.4,0.4,0.8,23,-0.0042236567643610945,-0.00415935955694946,0.0,0.0
1776124259000,ETHUSDT,ETH,decrypt,exchange,2,-0.4,0.4,0.7,23,-0.003570433769719661,-0.001671266870932664,-0.00015499618533987292,-0.00202655730540946
1776124989000,BTCUSDT,ALL,decrypt,regulatory,2,0.0,0.0,0.8,0,-0.0007940427687956886,0.0017535671718877932,0.0,0.0
1776127445000,BTCUSDT,ALL,cointelegraph,regulatory,2,0.4,0.4,0.8,0,0.0009094975860484134,0.0017302801174485793,0.0,0.0
1776143428000,BTCUSDT,ALL,coindesk,regulatory,2,-0.2,0.2,0.8,5,0.000617181836643832,0.00560897112600367,0.0,0.0
1776149080000,BTCUSDT,BTC,cointelegraph,macro,2,0.7,0.7,0.8,6,0.0006350463642958992,-0.0005995794211659522,0.0,0.0
1776149081000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.4,0.4,0.8,6,0.0006350463642958992,-0.0005995794211659522,0.0,0.0
1776156253000,BTCUSDT,BTC,cointelegraph,influencer,3,-0.7,0.7,0.8,8,-0.003829163919713996,-0.004775716862652102,0.0,0.0
1776156255000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.35,0.35,0.8,8,-0.003829163919713996,-0.004775716862652102,0.0,0.0
1776157065000,BTCUSDT,BTC,coindesk,macro,2,0.4,0.4,0.8,8,-0.00329448691823242,-0.0014162639305554947,0.0,0.0
1776160048000,BTCUSDT,ALL,cointelegraph,regulatory,3,-0.7,0.7,0.8,9,-0.001187313793873157,0.01226331289022542,0.0,0.0
1776167126000,BTCUSDT,BTC,cointelegraph,influencer,2,-0.35,0.35,0.7,11,0.0004336590998419432,0.01433468558773976,0.0,0.0
1776170047000,BTCUSDT,ALL,decrypt,regulatory,2,-0.2,0.2,0.8,12,0.007097927482119015,0.012059858479976038,0.0,0.0
1776170687000,BTCUSDT,ALL,cointelegraph,hack,2,-0.45,0.45,0.8,12,0.010104679619163948,0.009745161905320376,0.0,0.0
1776171777000,BTCUSDT,ALL,coindesk,regulatory,2,0.4,0.4,0.8,13,0.013097240480990369,0.0020946950169375977,0.0,0.0
1776173503000,BTCUSDT,BTC,coindesk,macro,2,0.7,0.7,0.8,13,0.007377550283052647,-0.006489984261564441,0.0,0.0
1776174323000,BTCUSDT,BTC,cointelegraph,exchange,3,-0.7,0.7,0.8,13,-0.001507692442417996,-0.009179767810321926,0.0,0.0
1776174778000,BTCUSDT,ALL,coindesk,exchange,3,0.7,0.7,0.8,13,-0.006783364761828947,-0.010288385685765844,0.0,0.0
1776176049000,BTCUSDT,ALL,coindesk,hack,3,-0.8,0.8,0.9,14,-0.009956756596498528,-0.010982119742085517,0.0,0.0
1776176135000,BTCUSDT,ALL,theblock,influencer,2,-0.4,0.4,0.8,14,-0.009253701890762245,-0.014775952913330337,0.0,0.0
1776178691000,BTCUSDT,ALL,decrypt,exchange,3,0.6,0.6,0.8,14,0.006133668048946106,-0.010787246055304012,0.0,0.0
1776180691000,BTCUSDT,ALL,theblock,influencer,2,0.4,0.4,0.7,15,0.000993722214128523,-0.013241158912400519,0.0,0.0
1776181231000,BTCUSDT,BTC,coindesk,macro,2,0.8,0.8,0.9,15,-0.0019105334502830251,-0.014459107460861764,0.0,0.0
1776184872000,BTCUSDT,BTC,theblock,macro,2,0.7,0.7,0.8,16,-0.005812875887590163,-0.01166156961496767,0.0,0.0
1776185509000,BTCUSDT,ALL,coindesk,regulatory,2,-0.45,0.45,0.8,16,0.0012953402578892437,-0.007366293290753667,0.0,0.0
1776187044000,BTCUSDT,ALL,coindesk,influencer,3,0.8,0.8,0.7,17,-0.004790112920492473,-0.010621374666482941,0.0,0.0
